Filename,Chunk Size,Generated Question,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_1 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_10 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_3 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_5 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_1 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_10 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_3 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_5 Docs,roberta-base_q_a_256_roberta-base_q_a_256_1 Docs,roberta-base_q_a_256_roberta-base_q_a_256_10 Docs,roberta-base_q_a_256_roberta-base_q_a_256_3 Docs,roberta-base_q_a_256_roberta-base_q_a_256_5 Docs,t5-base_q_a_256_t5-base_q_a_256_1 Docs,t5-base_q_a_256_t5-base_q_a_256_10 Docs,t5-base_q_a_256_t5-base_q_a_256_3 Docs,t5-base_q_a_256_t5-base_q_a_256_5 Docs
aa23-075a_chunk_12.txt,256,,To aid in detecting the ransomware,To aid in detecting the ransomware,To aid in detecting the ransomware,To aid in detecting the ransomware,CPG 8,CPG 8,CPG 8,CPG 8,"software on all hosts. Review domain controllers, servers, workstations","software on all hosts. Review domain controllers, servers, workstations","software on all hosts. Review domain controllers, servers, workstations","software on all hosts. Review domain controllers, servers, workstations","To aid in detecting the ransomware, implement a tool that logs and reports all network traffic, including lateral movement activity on a network","To aid in detecting the ransomware, implement a tool that logs and reports all network traffic, including lateral movement activity on a network","To aid in detecting the ransomware, implement a tool that logs and reports all network traffic, including lateral movement activity on a network","To aid in detecting the ransomware, implement a tool that logs and reports all network traffic, including lateral movement activity on a network"
icsa-24-074-07_chunk_45.txt,256,,local escalation of privilege,local escalation of privilege,local escalation of privilege,local escalation of privilege,assigned to this vulnerability,assigned to this vulnerability,assigned to this vulnerability,assigned to this vulnerability,User,User,User,User,"Android Versions: Android-10, Android-11, Android-12, Android-12L, Android-13","Android Versions: Android-10, Android-11, Android-12, Android-12L, Android-13","Android Versions: Android-10, Android-11, Android-12, Android-12L, Android-13","Android Versions: Android-10, Android-11, Android-12, Android-12L, Android-13"
icsa-23-166-11_chunk_14.txt,256,,It is recommended to apply a patch to fix this issue,VDB-211032. CVE-2022-3534,VDB-211032. CVE-2022-3534,VDB-211032. CVE-2022-3534,6.6 has been assigned. The CVSS vector string is,2022-3545 has been assigned to this vulnerability,2022-3545 has been assigned to this vulnerability,2022-3545 has been assigned to this vulnerability,vulnerability. CVE,The manipulation leads to use,The manipulation leads to use,The manipulation leads to use,VDB-211929,VDB-211929,VDB-211929,VDB-211929
aa23-325a_chunk_4.txt,256,,"to leverage Altera, a remote admin tool","to leverage Altera, a remote admin tool","to leverage Altera, a remote admin tool","to leverage Altera, a remote admin tool",81,81,81,81,"tool, similar to UNIX SSH. It","tool, similar to UNIX SSH. It","tool, similar to UNIX SSH. It","tool, similar to UNIX SSH. It",Table 1: LockBit 3.0 Affiliate Citrix Bleed Campaign Indicator Type Fidelity Description 192.229.221[.]95 IP Low Mag.dll calls out to this IP address. Ties back to dns0.org,Table 1: LockBit 3.0 Affiliate Citrix Bleed Campaign Indicator Type Fidelity Description 192.229.221[.]95 IP Low Mag.dll calls out to this IP address. Ties back to dns0.org,Table 1: LockBit 3.0 Affiliate Citrix Bleed Campaign Indicator Type Fidelity Description 192.229.221[.]95 IP Low Mag.dll calls out to this IP address. Ties back to dns0.org,Table 1: LockBit 3.0 Affiliate Citrix Bleed Campaign Indicator Type Fidelity Description 192.229.221[.]95 IP Low Mag.dll calls out to this IP address. Ties back to dns0.org
aa23-075a_chunk_13.txt,256,,regularly maintain backup and restoration,regularly maintain backup and restoration,regularly maintain backup and restoration,regularly maintain backup and restoration,.e,.e,.e,.e,security controls inventory to assess how they perform,security controls inventory to assess how they perform,security controls inventory to assess how they perform,security controls inventory to assess how they perform,"maintain offline backups of data, and regularly maintain backup and restoration","maintain offline backups of data, and regularly maintain backup and restoration","maintain offline backups of data, and regularly maintain backup and restoration","maintain offline backups of data, and regularly maintain backup and restoration"
aa24-038a_chunk_44.txt,256,,prioritize obtaining valid credentials,prioritize obtaining valid credentials,prioritize obtaining valid credentials,prioritize obtaining valid credentials,".log file contained user activities on a compromised system, showcasing a combination",".log file contained user activities on a compromised system, showcasing a combination",".log file contained user activities on a compromised system, showcasing a combination",".log file contained user activities on a compromised system, showcasing a combination","tools, LOTL utilities, and appliances already present on the","tools, LOTL utilities, and appliances already present on the","tools, LOTL utilities, and appliances already present on the","tools, LOTL utilities, and appliances already present on the",prioritize obtaining valid credentials,prioritize obtaining valid credentials,prioritize obtaining valid credentials,prioritize obtaining valid credentials
aa23-165a_chunk_21.txt,256,,cannot be altered or deleted,cannot be altered or deleted,cannot be altered or deleted,cannot be altered or deleted,.e,.e,.e,.e,ransomware attacks,ransomware attacks,ransomware attacks,ransomware attacks,cannot be altered or deleted,cannot be altered or deleted,cannot be altered or deleted,cannot be altered or deleted
icsa-23-166-11_chunk_20.txt,256,,to modify read-only files,to modify read-only files,to modify read-only files,to modify read-only files,UI:N/S:U/C:H,UI:N/S:U/C:H,UI:N/S:U/C:H,UI:N/S:U/C:H,A bug in,A bug in,A bug in,A bug in,,,,
aa23-074a_chunk_22.txt,256,,to ensure optimal performance,to ensure optimal performance,to ensure optimal performance,to ensure optimal performance,4] Bishop Fox CVE-2019,CK techniques identified in this advisory,4] Bishop Fox CVE-2019,.g,Exploit,information,Exploit,interacting,to ensure optimal performance against the MITRE ATT&CK techniques identified in this advisory,FALSE,FALSE,FALSE
aa22-158a_chunk_10.txt,256,,Implement the appropriate refresh,high attack complexity,Implement the appropriate refresh,Implement the appropriate refresh,"12.1, and 13",CISA at this,"12.1, and 13","12.1, and 13",vulnerability details outlined by vendor: Citrix: Mitigation,vulnerability has been reported to CISA at this time.,vulnerability details outlined by vendor: Citrix: Mitigation,vulnerability details outlined by vendor: Citrix: Mitigation,An attacker could exploit this vulnerability by sending malicious HTTP POST requests to the web-based management interface of Cisco Small Business RV320 and RV325 Dual Gigabit WAN VPN Routers,MuddyWater actors are also known to exploit unpatched vulnerabilities as part of their targeted operations,An attacker could exploit this vulnerability by sending malicious HTTP POST requests to the web-based management interface of Cisco Small Business RV320 and RV325 Dual Gigabit WAN VPN Routers,An attacker could exploit this vulnerability by sending malicious HTTP POST requests to the web-based management interface of Cisco Small Business RV320 and RV325 Dual Gigabit WAN VPN Routers
icsa-23-166-11_chunk_25.txt,256,,trying to free the SKB of a packet dropped,trying to free the SKB of a packet dropped,trying to free the SKB of a packet dropped,trying to free the SKB of a packet dropped,SKB of a packet dropped due to the XSA-392 handling,SKB of a packet dropped due to the XSA-392 handling,SKB of a packet dropped due to the XSA-392 handling,SKB of a packet dropped due to the XSA-392 handling,another issue which might result in a deadlock,another issue which might result in a deadlock,another issue which might result in a deadlock,another issue which might result in a deadlock,explains which aspects/vulnerabilities correspond to which CVE,explains which aspects/vulnerabilities correspond to which CVE,explains which aspects/vulnerabilities correspond to which CVE,explains which aspects/vulnerabilities correspond to which CVE
icsa-24-102-08_chunk_1.txt,256,,will return a failure code,will return a failure code,will return a failure code,will return a failure code,PEM_read,PEM_read,PEM_read,PEM_read,OpenSSL functions including PEM_X509_INFO_read,OpenSSL functions including PEM_X509_INFO_read,OpenSSL functions including PEM_X509_INFO_read,OpenSSL functions including PEM_X509_INFO_read,populate the header argument with a pointer to a buffer that has already been freed,populate the header argument with a pointer to a buffer that has already been freed,populate the header argument with a pointer to a buffer that has already been freed,populate the header argument with a pointer to a buffer that has already been freed
aa24-038a_chunk_9.txt,256,,outdated versions of network admin tools,outdated versions of network admin tools,outdated versions of network admin tools,outdated versions of network admin tools,comsvcs.dll is a legitimate Microsoft Dynamic Link Library (DLL,comsvcs.dll is a legitimate Microsoft Dynamic Link Library (DLL,comsvcs.dll is a legitimate Microsoft Dynamic Link Library (DLL,comsvcs.dll is a legitimate Microsoft Dynamic Link Library (DLL,"information, see joint guide Identifying and Mitigating","information, see joint guide Identifying and Mitigating","information, see joint guide Identifying and Mitigating","information, see joint guide Identifying and Mitigating",The actors also use legitimate non-native network admin and forensic tools,The actors also use legitimate non-native network admin and forensic tools,The actors also use legitimate non-native network admin and forensic tools,The actors also use legitimate non-native network admin and forensic tools
